x,y,dm
-0.0013258955831555142,-0.039909793135595485,0.0013147789144573698
0.1092382359204963,0.08866661401437073,0.004294789395950615
-0.09890738262282828,-0.0820796112513776,0.007024206491168507
-0.05208279904273705,-0.04131699523514695,0.002248242220912205
0.03255304711056997,0.03489696799735714,0.0033298688475275375
-0.009479271807895736,-0.0016718664331777156,0.004189985722969327
-0.045834241070859594,-0.07421430120449408,0.004808396808966162
0.002557742953542146,0.034743914999083254,0.003657226348665035
0.08202318395390108,0.1100703146687281,0.0026535264427869883
0.10745968971382254,0.07452127237048646,0.004102788955131167
0.10936692531493958,0.09024854737017984,0.008278087333605778
0.09346705089848882,0.08300183225519928,0.003679213791195626
0.05882631656509691,0.06352394297260464,0.0009987817955150122
0.04703249378663976,0.017153163100414846,0.003938048848185463
0.0579242222031991,0.09484522145483325,0.0007473301922107751
0.09092525922257956,0.09744792061827791,0.0037551250336578155
0.07626639714240288,0.05654788650192885,0.0023371456294066224
0.04641006324478116,0.06586402857643822,0.0020186962857971363
0.07186351773773005,0.0873773877659349,0.0037244927893520818
0.00921232169914969,0.013966994580479054,0.0030475754041519093
-0.017283323014693028,0.008043324037342954,0.004497407318800464
0.09895646406610784,0.08533896968212167,0.005351924292983201
-0.03627344855135806,-0.045697754955631574,-0.0005489609119357529
0.03971217010562427,0.053279605018539906,0.007401622683901653
-0.0671807939765891,-0.09383373324979177,0.003416331898755708
0.045957247372169906,0.014745710366112413,0.004258871269250165
-0.09344789125123928,-0.0653585457264209,0.005957423002529094
0.0971797701878456,0.0860152331087596,0.00471843968881675
0.033531459637046485,0.06715384053856387,0.005830992024498803
0.10907880459710516,0.07327358131745902,0.00444679049707299
0.01625281462802086,-0.006697195317940681,-0.0007974548666573096
-0.09739368840020589,-0.06966565744947284,0.003984068198588009
-0.03647946175024098,-0.021899810788218427,0.006836347378848735
-0.034034351099885035,-0.06126322748165357,0.005120426946246752
0.004607568425282516,-0.0025581118836990146,0.006004583892192384
0.10093317128890447,0.08833105809079907,0.0023454497527908165
-0.0010586425998711135,-0.023758454704863548,0.004544796623293171
-0.08781370035097426,-0.07206039536879053,0.002201729612750247
